pitch;yaw;velocity
17.8665;-112.019;5.24205
17.4195;-110.065;2.98795
-6.65824;-108.029;5.85576
-8.64186;-112.939;4.87161
-24.9258;-109.319;4.86175
-10.143;-124.868;9.24763
-48.7401;-93.6002;0.752789
-88.367;-105.004;-1.76418
-203.473;-156.798;-0.718524
-326.107;-121.982;8.06414
-368.781;-92.9908;12.4222
-94.4508;-81.7855;22.9234
34.3823;-85.2442;38.4345
124.244;-84.1486;36.2133
70.8788;-250.704;48.6001
-571.706;-151.672;-12.6444
-1473.35;-631.155;26.484
-1137.14;-977.742;-20.3232
-1294.23;-123.149;292.421
-1086.59;303.765;80.8363
1917.36;307.232;40.403
5903.37;-362.069;-122.491
462.953;291.665;-253.292
-11744.9;-81.325;229.878
-9688.92;466.616;423.725
-4875.52;7567.13;-186.968
9531.11;10343.4;206.901
-19113.9;23355.9;1140.03
7316.51;29797;2915.06
-41043.3;45350;195.216
45567.3;23498.2;10602.5
-90313.6;67253.6;-2556.6
-239402;-2737.69;-20278.2
-318138;150789;-24005
-620240;101206;-19502.2
-520463;92224.5;-25685.7
-1.27949e+06;-167092;-119075
-927436;-357000;-157720
-1.45494e+06;-395873;-178451
174684;1.02178e+06;-64872.5
-369920;1.6257e+06;-28422.8
-1.5144e+06;441812;-420346
-6.45529e+06;-1.21583e+06;-390019
-8.73112e+06;-1.91185e+06;-885952
-9.31253e+06;-21718.5;799560
-1.22517e+07;390248;2.23112e+06
-1.96305e+07;1.25727e+07;1.85636e+06
-1.41898e+07;1.11659e+07;-270095
-4.70128e+07;1.9975e+07;-4.04161e+06
-3.43626e+06;1.13846e+07;-3.41102e+06
1.05587e+08;4.63393e+07;-8.60114e+06
1.64814e+08;6.30051e+07;-4.88606e+06
3.3794e+07;1.00046e+08;-6.30228e+06
-1.06442e+08;1.10446e+08;9.8692e+06
-1.5464e+08;1.90789e+08;5.40542e+06
-1.53274e+08;3.67163e+08;1.2376e+07
-5.3689e+08;4.9097e+08;4.05015e+07
-5.73944e+07;6.62071e+08;-2.3198e+07
-1.1531e+08;5.18268e+08;-4.14939e+07
-1.76873e+09;7.44755e+08;-4.63394e+07
-1.55729e+09;1.90134e+08;-1.25621e+08
1.57975e+09;4.45234e+08;-2.14987e+08
-8.89975e+08;1.10612e+09;-7.81223e+07
3.3982e+09;-9.50173e+08;-1.42999e+08
3.81231e+09;-4.51821e+09;9.2074e+08
-5.32675e+09;-7.68719e+09;8.32525e+08
-2.76676e+10;-5.06074e+09;2.06129e+09
-1.55572e+10;3.1703e+08;1.10565e+09
-4.43777e+10;-7.1231e+09;1.65162e+09
-1.10669e+10;-1.04599e+10;-4.72064e+08
-6.486e+10;-9.9688e+09;-2.60757e+09
-7.32396e+10;-2.56908e+10;-4.4728e+09
-8.16239e+10;-7.68248e+10;1.43164e+10
-1.93152e+11;-1.46967e+11;2.83486e+10
-2.78505e+11;-1.05284e+11;2.38382e+10
-4.75615e+11;-6.18166e+10;3.67085e+10
-8.94709e+11;-1.85212e+11;5.31705e+10
-2.64339e+11;-1.52912e+11;8.66759e+10
-1.95063e+11;4.05884e+11;6.25838e+10
2.52076e+10;-1.34311e+11;2.00662e+11
-8.84625e+11;-4.71706e+11;1.61122e+11
4.4256e+12;3.47258e+11;-6.71369e+10
4.27663e+12;3.33123e+11;-2.87721e+11
5.63558e+12;-3.54096e+11;-3.31469e+11
3.00666e+11;9.09148e+11;-1.963e+10
8.74297e+12;1.39211e+12;-1.08667e+12
2.38909e+13;2.34754e+12;-9.9382e+11
1.83224e+13;6.71925e+12;-8.44085e+11
5.90063e+13;1.05748e+12;-1.85863e+12
3.52878e+13;1.99866e+12;3.3304e+11
3.87627e+13;-1.51706e+13;3.18044e+12
3.35944e+13;-7.26302e+11;1.0707e+13
6.77945e+13;4.12404e+13;1.20056e+13
-6.6816e+11;4.67354e+13;1.43479e+13
-1.11264e+13;1.90182e+13;1.34024e+13
-1.42143e+14;9.10452e+13;3.84992e+13
3.2343e+14;1.16586e+14;1.94893e+13
1.06761e+14;1.3177e+14;6.64818e+13
5.59229e+14;-1.30804e+13;9.72678e+13
